英語原文,日本語版で使用する表記,分類,対象画面,翻訳するか,確認状況,備考
Devices,デバイス,Web UI,Microsoft Intune 管理センター,はい,確認済み,現行のMicrosoft Learnナビゲーション
Manage devices,デバイスの管理,Web UI,Microsoft Intune 管理センター,はい,確認済み,現行のMicrosoft Learnナビゲーション
Configuration,構成,Web UI,Microsoft Intune 管理センター,はい,確認済み,現行のMicrosoft Learnナビゲーション
Create,作成,Web UI,Microsoft Intune 管理センター,はい,確認済み,
New policy,新しいポリシー,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Create a profile,プロファイルの作成,Web UI,Microsoft Intune 管理センター,はい,確認済み,実機確認推奨
Platform,プラットフォーム,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Windows 10 and later,Windows 10 以降,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Profile type,プロファイルの種類,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Templates,テンプレート,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Device restrictions,デバイスの制限,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Basics,基本,Web UI,Microsoft Intune 管理センター,はい,確認済み,Learnページに英日併記あり
Configuration settings,構成設定,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Assignments,割り当て,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Included groups,包含されたグループ,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Add groups,グループの追加,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Select groups to include,含めるグループの選択,Web UI,Microsoft Intune 管理センター,はい,確認済み,実機確認推奨
Review + create,確認と作成,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Review + save,確認と保存,Web UI,Microsoft Intune 管理センター,はい,確認済み,Microsoft Learn表記
Not configured,構成されていません,Web UI,Microsoft Intune 管理センター,はい,確認済み,
All devices,すべてのデバイス,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Sync,同期,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Yes,はい,Web UI,Microsoft Intune 管理センター,はい,確認済み,
Groups,グループ,Web UI,Microsoft Entra/Intune 管理画面,はい,確認済み,
All groups,すべてのグループ,Web UI,Microsoft Entra/Intune 管理画面,はい,確認済み,
New group,新しいグループ,Web UI,Microsoft Entra/Intune 管理画面,はい,確認済み,
Dynamic Device,動的デバイス,Web UI,Microsoft Entra グループ画面,はい,確認済み,画面世代による表記差を確認
Add dynamic query,動的クエリの追加,Web UI,Microsoft Entra グループ画面,はい,確認済み,
